jet velocity, uncertainty of jet velocity, flow, uncertainty of flow
0.814547467364302,0.0106328163109753,79,3.95
0.808908635275397,0.0102533550434132,72,3.6
0.794610086763345,0.0100385407778805,68,3.4
0.914938162985943,0.0122064557756414,89,4.45
1.30209139518034,0.0185359914324154,152,7.6
1.03647517869696,0.0158738988026476,106,5.3
1.23112665961979,0.0158856133351382,133,6.65
1.14854420030976,0.0146742713759695,77,3.85
1.18763676432604,0.0175370089193897,73,3.65
1.11366580082221,0.0140134894197253,69,3.45
1.11791774080609,0.0143876613406622,66,3.3
1.27555478482927,0.0181379251632078,105,5.25
1.44668245638935,0.0199307070648472,128,6.4
1.21254648516525,0.0172719825048223,90,4.5
1.30851718400319,0.0175029071333843,76,3.8
1.3551204243994,0.018134648495377,87,4.35
1.43475790728904,0.0201065505149806,94,4.7
1.58604326696735,0.0297488277092538,115,5.75
1.68133745871933,0.025162486340525,131,6.55
1.41946306369174,0.0223215750272897,85,4.25
1.55434983707558,0.023410564822561,78.5,3.925
1.54121261721095,0.0230203435113156,95,4.75
1.63494396325169,0.0262839555970482,111,5.55
1.74700539058288,0.0234355307539213,128,6.4
1.76554209236622,0.0296595498961936,152,7.6
1.9466228697838,0.024420210598868,131,6.55
1.99928975011801,0.0301415597486925,116,5.8
1.86281066824683,0.035525941107715,94,4.7
1.66003696637349,0.0291157142784975,89,4.45
1.71079114229223,0.0243885909052759,83,4.15
2.16818792258637,0.0368656047459652,98,4.9
1.53477197646408,0.0231051967972931,78,3.9
1.64268658376591,0.0219042094970915,84,4.2
1.62814152557623,0.0227876681283045,98,4.9
1.68093029151512,0.0278642999480108,113,5.65
1.849022277733,0.0293833695914714,136,6.8
